"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2024","116.64","113.98","117.00","105.53","56.03M","2.19%"
"07/01/2024","114.13","112.81","116.81","111.11","59.14M","1.54%"
"06/01/2024","112.40","111.58","113.32","110.32","64.46M","1.19%"
"05/01/2024","111.08","106.22","112.49","105.80","46.77M","4.58%"
"04/01/2024","106.22","110.24","110.45","104.29","61.15M","-3.55%"
"03/01/2024","110.13","106.92","110.37","106.24","50.51M","3.26%"
"02/01/2024","106.65","102.39","107.11","102.24","82.37M","4.51%"
"01/01/2024","102.05","101.01","103.61","99.26","129.99M","0.28%"
"12/01/2023","101.77","97.83","102.28","97.66","82.81M","3.83%"
"11/01/2023","98.02","90.23","98.32","90.09","85.31M","8.89%"
"10/01/2023","90.02","92.15","94.12","88.33","76.69M","-2.54%"
"09/01/2023","92.37","97.24","97.39","91.32","40.95M","-4.28%"
"08/01/2023","96.50","98.83","99.01","93.02","64.18M","-2.91%"
"07/01/2023","99.39","96.02","99.53","93.98","62.65M","3.60%"
"06/01/2023","95.94","91.77","96.81","91.64","71.30M","4.72%"
"05/01/2023","91.62","92.56","93.38","90.50","60.46M","-1.05%"
"04/01/2023","92.59","91.13","92.92","90.40","57.18M","1.57%"
"03/01/2023","91.16","88.53","91.20","84.94","81.61M","3.33%"
"02/01/2023","88.22","91.02","93.24","87.66","66.46M","-3.32%"
"01/01/2023","91.25","85.51","91.81","84.39","132.52M","7.50%"
"12/01/2022","84.88","90.09","90.37","83.59","120.65M","-5.34%"
"11/01/2022","89.67","83.98","89.67","79.85","122.60M","8.34%"
"10/01/2022","82.77","78.66","83.44","75.71","104.61M","6.35%"
"09/01/2022","77.83","85.21","88.99","77.77","115.64M","-9.39%"
"08/01/2022","85.90","89.23","93.06","85.90","91.73M","-4.36%"
"07/01/2022","89.82","83.50","89.89","81.47","64.76M","7.07%"
"06/01/2022","83.89","92.78","93.31","81.26","79.35M","-8.95%"
"05/01/2022","92.14","91.69","94.96","85.52","77.29M","0.45%"
"04/01/2022","91.73","100.49","101.40","91.65","74.05M","-8.07%"
"03/01/2022","99.78","97.60","102.03","91.53","93.60M","1.94%"
"02/01/2022","97.88","101.19","103.27","92.84","98.56M","-3.06%"
"01/01/2022","100.97","106.12","106.78","95.60","167.38M","-4.55%"
"12/01/2021","105.78","104.15","106.54","101.03","112.68M","2.82%"
"11/01/2021","102.88","105.64","107.46","102.50","63.44M","-2.31%"
"10/01/2021","105.31","100.39","105.83","98.94","70.00M","5.39%"
"09/01/2021","99.92","104.70","105.41","99.82","61.66M","-4.23%"
"08/01/2021","104.33","102.70","104.50","100.84","71.46M","2.17%"
"07/01/2021","102.11","101.28","102.90","98.82","71.31M","0.91%"
"06/01/2021","101.19","101.57","101.69","99.03","53.03M","0.54%"
"05/01/2021","100.65","99.83","100.93","96.53","66.48M","1.47%"
"04/01/2021","99.19","95.85","100.49","95.84","57.50M","4.25%"
"03/01/2021","95.15","93.84","96.23","90.75","85.01M","2.85%"
"02/01/2021","92.51","91.49","96.93","91.02","70.17M","2.29%"
"01/01/2021","90.44","91.60","94.38","89.44","89.18M","-0.31%"
"12/01/2020","90.72","88.40","90.99","87.94","53.45M","3.88%"
"11/01/2020","87.33","78.94","88.46","78.36","96.18M","11.76%"
"10/01/2020","78.14","80.53","84.03","77.34","86.70M","-2.23%"
"09/01/2020","79.92","82.61","84.12","76.94","73.30M","-2.95%"
"08/01/2020","82.35","78.19","82.88","78.07","64.43M","6.03%"
"07/01/2020","77.67","73.95","78.65","73.89","63.39M","5.36%"
"06/01/2020","73.72","72.46","77.38","70.87","63.50M","2.08%"
"05/01/2020","72.22","67.56","72.88","65.77","97.16M","5.09%"
"04/01/2020","68.72","60.12","70.07","59.30","116.75M","9.83%"
"03/01/2020","62.57","72.62","75.93","53.31","178.65M","-13.41%"
"02/01/2020","72.26","78.46","81.75","70.17","74.24M","-7.49%"
"01/01/2020","78.11","79.77","81.39","77.90","50.37M","-1.44%"
"12/01/2019","79.25","77.64","79.92","76.02","43.74M","2.21%"
"11/01/2019","77.54","76.21","78.06","76.19","35.18M","2.34%"
"10/01/2019","75.77","73.82","76.04","71.12","55.92M","2.74%"
"09/01/2019","73.75","71.65","74.92","71.44","45.21M","2.25%"
"08/01/2019","72.13","73.73","74.47","69.82","89.00M","-2.21%"
"07/01/2019","73.76","74.50","75.06","73.13","45.09M","0.07%"
"06/01/2019","73.71","70.18","74.07","69.89","56.10M","5.16%"
"05/01/2019","70.09","74.70","74.87","69.86","62.23M","-6.07%"
"04/01/2019","74.62","72.76","74.68","72.68","37.67M","3.42%"
"03/01/2019","72.15","71.49","72.89","69.50","66.80M","1.58%"
"02/01/2019","71.03","69.31","71.75","68.43","57.25M","2.47%"
"01/01/2019","69.32","63.28","69.42","62.91","115.21M","8.04%"
"12/01/2018","64.16","70.98","71.03","61.01","175.12M","-8.12%"
"11/01/2018","69.83","69.15","71.37","67.03","79.32M","1.59%"
"10/01/2018","68.74","74.63","74.75","66.23","106.43M","-7.43%"
"09/01/2018","74.26","73.40","74.95","72.18","37.39M","0.61%"
"08/01/2018","73.81","73.27","74.70","71.22","44.94M","0.70%"
"07/01/2018","73.30","70.34","73.94","70.34","44.86M","3.07%"
"06/01/2018","71.12","72.82","74.35","70.21","50.03M","-1.67%"
"05/01/2018","72.33","71.89","74.10","70.74","33.78M","0.47%"
"04/01/2018","71.99","71.39","73.53","69.67","39.86M","0.40%"
"03/01/2018","71.70","72.71","74.76","70.05","47.44M","-1.50%"
"02/01/2018","72.79","75.96","76.41","68.52","89.18M","-4.48%"
"01/01/2018","76.20","72.51","77.54","72.33","40.63M","5.70%"
"12/01/2017","72.09","71.61","72.76","70.79","49.46M","0.52%"
"11/01/2017","71.72","70.63","71.89","69.53","29.03M","2.02%"
"10/01/2017","70.30","68.77","70.36","68.77","27.93M","2.15%"
"09/01/2017","68.82","67.73","68.97","66.94","33.55M","1.88%"
"08/01/2017","67.55","67.54","67.79","66.15","28.74M","0.40%"
"07/01/2017","67.28","65.67","67.59","65.02","36.28M","2.73%"
"06/01/2017","65.49","65.87","66.73","65.00","44.98M","-0.32%"
"05/01/2017","65.70","64.44","65.96","64.17","29.21M","2.21%"
"04/01/2017","64.28","63.31","64.57","62.53","33.08M","1.61%"
"03/01/2017","63.26","62.83","63.87","62.21","46.63M","1.35%"
"02/01/2017","62.42","61.13","62.93","60.79","40.42M","2.51%"
"01/01/2017","60.89","59.61","61.48","59.35","40.42M","2.91%"
"12/01/2016","59.17","58.59","60.77","58.22","52.68M","1.02%"
"11/01/2016","58.57","58.14","58.93","56.69","49.77M","1.04%"
"10/01/2016","57.97","58.97","59.21","57.44","28.56M","-1.91%"
"09/01/2016","59.10","58.71","59.76","57.46","40.58M","0.94%"
"08/01/2016","58.55","58.40","59.51","57.53","37.12M","0.34%"
"07/01/2016","58.35","56.22","58.42","55.00","32.39M","3.77%"
"06/01/2016","56.23","56.82","58.20","52.92","42.09M","-1.35%"
"05/01/2016","57.00","57.04","57.35","55.15","37.24M","0.33%"
"04/01/2016","56.81","55.36","58.06","54.80","34.85M","1.34%"
"03/01/2016","56.06","52.71","56.57","52.65","36.66M","7.39%"
"02/01/2016","52.20","52.44","52.97","49.04","48.91M","-1.25%"
"01/01/2016","52.86","54.83","54.97","49.09","79.30M","-5.30%"
"12/01/2015","55.82","58.06","58.35","54.93","70.32M","-3.36%"
"11/01/2015","57.76","58.34","59.06","56.33","44.52M","-0.53%"
"10/01/2015","58.07","54.19","58.62","53.48","45.62M","7.66%"
"09/01/2015","53.94","54.41","57.18","52.56","51.41M","-3.44%"
"08/01/2015","55.86","59.92","60.24","50.37","46.41M","-6.81%"
"07/01/2015","59.94","59.95","60.97","57.92","31.27M","0.82%"
"06/01/2015","59.45","61.94","62.40","59.23","23.54M","-3.71%"
"05/01/2015","61.74","61.95","63.08","61.17","21.33M","0.00%"
"04/01/2015","61.74","60.12","62.98","59.79","27.65M","2.87%"
"03/01/2015","60.02","60.88","61.37","58.70","26.38M","-1.46%"
"02/01/2015","60.91","57.94","61.28","57.63","22.36M","5.51%"
"01/01/2015","57.73","58.66","59.22","56.40","62.69M","-1.32%"
"12/01/2014","58.50","60.13","60.51","56.61","56.29M","-3.19%"
"11/01/2014","60.43","59.42","60.82","58.77","19.00M","1.38%"
"10/01/2014","59.61","58.72","59.67","54.55","42.32M","1.21%"
"09/01/2014","58.90","60.99","61.32","58.69","18.99M","-3.32%"
"08/01/2014","60.92","59.14","61.03","58.24","25.12M","2.58%"
"07/01/2014","59.39","60.43","61.16","59.37","21.78M","-1.44%"
"06/01/2014","60.26","60.05","61.28","59.70","15.64M","0.42%"
"05/01/2014","60.01","58.78","60.03","58.27","23.82M","2.01%"
"04/01/2014","58.83","58.30","58.92","56.71","21.72M","1.19%"
"03/01/2014","58.14","57.16","58.48","56.45","26.37M","0.57%"
"02/01/2014","57.81","54.97","58.08","53.72","24.92M","5.20%"
"01/01/2014","54.95","57.19","57.46","54.57","27.80M","-4.63%"
"12/01/2013","57.62","56.87","57.68","54.96","39.99M","1.23%"
"11/01/2013","56.92","56.01","57.19","55.30","20.17M","1.55%"
"10/01/2013","56.05","53.92","56.70","53.03","26.64M","3.95%"
"09/01/2013","53.92","51.90","55.26","51.41","24.00M","5.54%"
"08/01/2013","51.09","52.73","53.27","51.01","23.57M","-2.29%"
"07/01/2013","52.29","50.30","52.98","49.73","23.47M","4.58%"
"06/01/2013","50.00","52.07","52.43","48.80","33.92M","-3.83%"
"05/01/2013","51.99","52.17","54.53","51.71","19.52M","-0.38%"
"04/01/2013","52.19","50.67","52.27","49.77","17.34M","2.84%"
"03/01/2013","50.75","49.61","51.11","49.41","14.82M","1.83%"
"02/01/2013","49.84","50.26","50.56","48.97","17.32M","-0.10%"
"01/01/2013","49.89","48.92","50.24","48.43","20.38M","3.76%"
"12/01/2012","48.08","47.39","48.33","47.06","26.30M","1.89%"
"11/01/2012","47.19","46.70","47.29","44.68","12.90M","1.59%"
"10/01/2012","46.45","47.10","48.00","46.19","14.31M","-0.51%"
"09/01/2012","46.69","45.48","48.41","45.14","13.09M","2.71%"
"08/01/2012","45.46","44.49","46.39","43.44","11.21M","2.78%"
"07/01/2012","44.23","44.01","44.73","42.36","14.69M","0.82%"
"06/01/2012","43.87","41.63","44.54","41.06","17.07M","3.64%"
"05/01/2012","42.33","46.54","47.15","41.88","16.44M","-9.28%"
"04/01/2012","46.66","47.08","47.82","45.07","10.89M","-1.14%"
"03/01/2012","47.20","46.84","47.81","45.23","17.07M","1.11%"
"02/01/2012","46.68","44.97","47.17","44.95","17.76M","4.95%"
"01/01/2012","44.48","42.95","45.16","42.33","11.82M","5.48%"
"12/01/2011","42.17","42.95","43.70","40.71","18.31M","-2.04%"
"11/01/2011","43.05","41.99","44.37","39.41","11.69M","-1.15%"
"10/01/2011","43.55","38.73","45.67","37.09","16.32M","11.32%"
"09/01/2011","39.12","43.78","44.02","38.37","14.14M","-10.44%"
"08/01/2011","43.68","47.76","47.80","40.11","22.08M","-7.36%"
"07/01/2011","47.15","48.26","49.18","46.64","11.51M","-2.28%"
"06/01/2011","48.25","49.54","49.54","45.80","9.75M","-2.92%"
"05/01/2011","49.70","50.98","50.99","47.59","7.12M","-1.95%"
"04/01/2011","50.69","48.48","50.77","47.33","9.28M","4.82%"
"03/01/2011","48.36","49.03","49.15","44.90","11.22M","-0.86%"
"02/01/2011","48.78","47.65","49.27","47.43","8.71M","3.11%"
"01/01/2011","47.31","47.16","48.04","46.14","11.77M","1.07%"
"12/01/2010","46.81","44.58","46.84","44.58","11.98M","6.75%"
"11/01/2010","43.85","45.08","46.74","43.52","7.27M","-2.19%"
"10/01/2010","44.83","43.55","45.47","42.94","5.33M","3.75%"
"09/01/2010","43.21","40.10","43.73","40.05","4.88M","9.81%"
"08/01/2010","39.35","41.80","42.32","38.75","4.92M","-4.28%"
"07/01/2010","41.11","37.64","41.59","37.11","7.40M","9.34%"
"06/01/2010","37.60","39.18","41.52","37.57","11.15M","-4.42%"
"05/01/2010","39.34","43.78","44.00","37.34","7.67M","-9.38%"
"04/01/2010","43.41","44.11","45.31","43.08","6.34M","-0.23%"
"03/01/2010","43.51","41.17","43.81","41.09","8.93M","6.33%"
"02/01/2010","40.92","40.41","41.46","38.69","3.10M","2.17%"
"01/01/2010","40.05","43.11","43.88","39.95","4.43M","-5.30%"
"12/01/2009","42.29","42.36","43.25","41.44","7.45M","1.20%"
"11/01/2009","41.79","40.05","43.20","39.56","3.86M","5.40%"
"10/01/2009","39.65","40.65","42.70","38.99","5.37M","-2.70%"
"09/01/2009","40.75","38.84","42.15","37.68","5.88M","4.86%"
"08/01/2009","38.86","38.43","39.66","37.00","3.38M","2.97%"
"07/01/2009","37.74","34.90","37.98","32.65","4.27M","9.42%"
"06/01/2009","34.49","36.07","36.66","33.16","8.68M","-2.29%"
"05/01/2009","35.30","31.93","35.30","31.80","4.64M","10.49%"
"04/01/2009","31.95","28.18","32.42","28.03","4.91M","12.78%"
"03/01/2009","28.33","25.40","29.84","23.67","3.22M","9.21%"
"02/01/2009","25.94","28.45","30.69","25.80","2.73M","-9.71%"
"01/01/2009","28.73","32.45","33.63","27.70","9.41M","-11.38%"
"12/01/2008","32.42","30.33","33.10","28.00","10.30M","5.47%"
"11/01/2008","30.74","33.36","35.40","26.20","5.79M","-8.76%"
"10/01/2008","33.69","41.21","41.65","26.64","2.50M","-18.41%"
"09/01/2008","41.29","46.96","49.55","39.45","4.04M","-12.26%"
"08/01/2008","47.06","47.80","48.12","45.91","499.18K","-1.67%"
"07/01/2008","47.86","48.81","50.70","46.15","3.25M","-3.16%"
"06/01/2008","49.42","53.69","53.77","48.90","408.08K","-7.99%"
"05/01/2008","53.71","52.65","55.24","52.10","1.18M","0.86%"
"04/01/2008","53.25","50.25","60.45","50.16","241.61K","7.97%"